last_name,first_name,Title,State,district,years_served,link
Gibbs,Bob,Representative,Ohio,7th,2013-2018,https://www.govtrack.us/congress/members/bob_gibbs/412463
Gillibrand,Kirsten,Senator,New York,0,2009-2018,https://www.govtrack.us/congress/members/kirsten_gillibrand/412223
Gohmert,Louie,Representative,Texas,1st,2005-2018,https://www.govtrack.us/congress/members/louie_gohmert/400651
Gomez,Jimmy,Representative,California,34th,2017-2018,https://www.govtrack.us/congress/members/jimmy_gomez/412739
Gonzalez,Vicente,Representative,Texas,15th,2017-2018,https://www.govtrack.us/congress/members/vicente_gonzalez/412725
González-Colón,Jenniffer,Senator,Puerto Rico,0,2017-2020,https://www.govtrack.us/congress/members/jenniffer_gonzalez_colon/412723
Goodlatte,Bob,Representative,Virginia,6th,1993-2018,https://www.govtrack.us/congress/members/bob_goodlatte/400154
Gosar,Paul,Representative,Arizona,4th,2013-2018,https://www.govtrack.us/congress/members/paul_gosar/412397
Gottheimer,Josh,Representative,New Jersey,5th,2017-2018,https://www.govtrack.us/congress/members/josh_gottheimer/412714
Gowdy,Trey,Representative,South Carolina,4th,2011-2018,https://www.govtrack.us/congress/members/trey_gowdy/412473
Graham,Lindsey,Senator,South Carolina,0,2003-2020,https://www.govtrack.us/congress/members/lindsey_graham/300047
Granger,Kay,Representative,Texas,12th,1997-2018,https://www.govtrack.us/congress/members/kay_granger/400157
Grassley,Charles “Chuck”,Senator,Iowa,0,1981-2022,https://www.govtrack.us/congress/members/charles_grassley/300048
Graves,Garret,Representative,Louisiana,6th,2015-2018,https://www.govtrack.us/congress/members/garret_graves/412631
Graves,Sam,Representative,Missouri,6th,2001-2018,https://www.govtrack.us/congress/members/sam_graves/400158
Graves,Tom,Representative,Georgia,14th,2013-2018,https://www.govtrack.us/congress/members/tom_graves/412388
Green,Al,Representative,Texas,9th,2005-2018,https://www.govtrack.us/congress/members/al_green/400653
Green,Gene,Representative,Texas,29th,1993-2018,https://www.govtrack.us/congress/members/gene_green/400160
Griffith,Morgan,Representative,Virginia,9th,2011-2018,https://www.govtrack.us/congress/members/morgan_griffith/412485
Grijalva,Raúl,Representative,Arizona,3rd,2013-2018,https://www.govtrack.us/congress/members/raul_grijalva/400162
Grothman,Glenn,Representative,Wisconsin,6th,2015-2018,https://www.govtrack.us/congress/members/glenn_grothman/412661
Guthrie,Brett,Representative,Kentucky,2nd,2009-2018,https://www.govtrack.us/congress/members/brett_guthrie/412278
Gutiérrez,Luis,Representative,Illinois,4th,1993-2018,https://www.govtrack.us/congress/members/luis_gutierrez/400163
Hanabusa,Colleen,Representative,Hawaii,1st,2016-2018,https://www.govtrack.us/congress/members/colleen_hanabusa/412418
Handel,Karen,Representative,Georgia,6th,2017-2018,https://www.govtrack.us/congress/members/karen_handel/412737
Harper,Gregg,Representative,Mississippi,3rd,2009-2018,https://www.govtrack.us/congress/members/gregg_harper/412280
